affinity_name,status_report,offer_number,policy_number,zipcode_link,zip4,birth_date,brand,date_offer,date_request,policy_start_date,premium,buildyear_car,buildmonth_car,wa,wa_bep_ca,wa_ca,updated_on,zipcode_link,zip4,PROVINCE,URB,INCOME,SOCCL_A,SOCCL_B1,SOCCL_B2,SOCCL_C,SOCCL_D,EDU_HIGH,EDU_MID,EDU_LOW,DINK,OWN_HOUSE,AVG_HOUSE,RENT_PRICE,STAGE_OF_LIFE,SINGLE,FAM,FAM_WCHILD,SINGLES_YOUNG,SINGLES_MID,SINGLES_OLD,FAM_CHILD_Y,FAM_CHILD_O,FAM_WCHILD_Y,FAM_WCHILD_MED,FAM_WCHILD_OLD,CIT_HOUSEHOLD,LOAN,SAVINGS,SHOP_ONLINE,CAR
Insuro,Requestwithdrawn,1000,10000,10000,2132,Jan-85,HYUNDAI,10/11/18,10/11/18,11/01/18,686.039978,2016,June,Y,NA,NA,10/11/18,10000,2132,North Holland,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Seguros International Ltd.,Calculatenewpremium,2142,NA,10000,2132,Jan-85,SUZUKI,03/06/19,NA,NA,105.8399963,2010,March,Y,NA,NA,03/06/19,10000,2132,North Holland,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Seguros International Ltd.,Calculatenewpremium,2143,NA,10000,2132,Jan-91,VOLVO,03/06/19,NA,NA,350.519989,2016,June,Y,NA,NA,03/06/19,10000,2132,North Holland,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
other,Tailoredofferwithdrawn,1001,NA,10001,6027,Apr-87,AUDI,10/11/18,NA,NA,0,2015,June,N,N,N,10/12/18,10001,6027,North Brabant,7,2,3,4,2,1,1,2,5,2,5,5,10,NULL,9,2,4,4,1,1,2,4,3,1,1,4,5,2,6,5,5
other,Incompleterequest,1002,NA,10002,3824,Nov-72,VOLKSWAGEN,10/11/18,NA,NA,896.039978,2016,April,NA,NA,Y,10/11/18,10002,3824,Utrecht,2,2,3,3,2,2,1,3,3,2,6,3,9,11,4,2,5,3,1,2,1,4,4,1,2,2,6,3,5,6,5
other,Policycreated,1003,10002,10003,6921,Aug-83,MAZDA,10/11/18,10/11/18,10/12/18,419.1600037,2009,June,NA,Y,NA,10/11/18,10003,6921,Gelderland,4,2,1,5,2,1,1,2,5,2,6,5,8,NULL,4,2,5,4,1,2,1,4,3,2,3,3,5,3,5,6,5
other,Policycreated,1004,10003,10004,8266,Apr-90,VOLVO,10/12/18,10/12/18,11/01/18,402.3599854,2003,January,Y,NA,NA,10/12/18,10004,8266,Overijssel,4,3,1,5,2,1,1,2,5,2,6,5,6,NULL,4,3,4,4,1,3,1,3,3,2,3,3,5,4,4,6,5
Insuro,Calculatenewpremium,1005,NA,10005,9642,Sep-74,HYUNDAI,10/12/18,NA,NA,366.480011,2002,April,NA,NA,Y,10/12/18,10005,9642,Groningen,4,2,3,3,2,2,1,3,4,2,4,5,4,NULL,9,3,4,5,1,3,1,1,4,2,2,4,3,4,4,5,5
Insuro,Calculatenewpremium,1161,NA,10005,9642,Sep-74,VOLKSWAGEN,11/12/18,NA,NA,572.7600098,2009,August,NA,NA,Y,11/12/18,10005,9642,Groningen,4,2,3,3,2,2,1,3,4,2,4,5,4,NULL,9,3,4,5,1,3,1,1,4,2,2,4,3,4,4,5,5
Insuro,Calculatenewpremium,1162,NA,10005,9642,Sep-74,HYUNDAI,11/12/18,NA,NA,519.5999756,2002,April,NA,NA,Y,11/12/18,10005,9642,Groningen,4,2,3,3,2,2,1,3,4,2,4,5,4,NULL,9,3,4,5,1,3,1,1,4,2,2,4,3,4,4,5,5
Insuro,Calculatenewpremium,1165,NA,10005,9642,Sep-74,VOLKSWAGEN,11/12/18,NA,NA,572.7600098,2009,August,NA,NA,Y,11/12/18,10005,9642,Groningen,4,2,3,3,2,2,1,3,4,2,4,5,4,NULL,9,3,4,5,1,3,1,1,4,2,2,4,3,4,4,5,5
Insuro,Calculatenewpremium,1166,NA,10005,9642,Sep-74,HYUNDAI,11/12/18,NA,NA,404.7600098,2002,April,Y,NA,NA,11/12/18,10005,9642,Groningen,4,2,3,3,2,2,1,3,4,2,4,5,4,NULL,9,3,4,5,1,3,1,1,4,2,2,4,3,4,4,5,5
Insuro,Calculatenewpremium,1169,NA,10005,9642,Sep-74,VOLKSWAGEN,11/12/18,NA,NA,572.7600098,2009,August,NA,NA,Y,11/12/18,10005,9642,Groningen,4,2,3,3,2,2,1,3,4,2,4,5,4,NULL,9,3,4,5,1,3,1,1,4,2,2,4,3,4,4,5,5
Insuro,Requestwithdrawn,1282,10091,10005,9642,Sep-74,VOLKSWAGEN,11/25/18,11/25/18,12/16/18,572.7600098,2009,August,NA,NA,Y,11/27/18,10005,9642,Groningen,4,2,3,3,2,2,1,3,4,2,4,5,4,NULL,9,3,4,5,1,3,1,1,4,2,2,4,3,4,4,5,5
Insuro,Requestwithdrawn,1283,10092,10005,9642,Sep-74,HYUNDAI,11/25/18,11/25/18,12/16/18,404.7600098,2002,April,Y,NA,NA,11/27/18,10005,9642,Groningen,4,2,3,3,2,2,1,3,4,2,4,5,4,NULL,9,3,4,5,1,3,1,1,4,2,2,4,3,4,4,5,5
other,Calculatenewpremium,1006,NA,10006,6281,Jan-76,VOLKSWAGEN,10/12/18,NA,NA,611.5200195,2002,November,Y,NA,NA,10/12/18,10006,6281,Limburg,7,2,3,3,2,2,1,2,4,2,4,4,9,NULL,3,4,4,4,1,3,4,3,3,1,3,3,4,2,6,4,5
other,Calculatenewpremium,1007,NA,10007,9451,Jan-50,SKODA,10/12/18,NA,NA,839.5200195,2017,January,NA,NA,Y,10/12/18,10007,9451,Drenthe,7,4,2,4,3,1,1,2,4,3,4,4,9,NULL,9,3,4,4,1,3,1,3,3,1,2,4,4,2,5,4,5
Insuro,Policycreated,1008,10004,10008,3081,Oct-53,TOYOTA,10/13/18,10/14/18,12/01/18,279.1199951,2003,May,Y,NA,NA,10/15/18,10008,3081,South Holland,1,3,1,2,3,3,2,2,4,3,3,2,2,9,9,4,4,3,3,3,3,3,3,1,1,3,3,4,3,3,3
Seguros International Ltd.,Calculatenewpremium,1009,NA,10009,1333,Mar-94,TOYOTA,10/14/18,NA,NA,323.3999939,1997,September,Y,NA,NA,10/14/18,10009,1333,Flevoland,2,3,2,3,3,1,2,3,4,2,4,5,6,NULL,6,3,4,4,1,2,3,1,4,2,1,4,4,4,5,5,4
Seguros International Ltd.,Waitresponsebackoffice,5721,11259,10009,1333,Mar-94,TOYOTA,10/25/19,10/25/19,12/01/19,365.8800049,1997,September,Y,NA,NA,10/25/19,10009,1333,Flevoland,2,3,2,3,3,1,2,3,4,2,4,5,6,NULL,6,3,4,4,1,2,3,1,4,2,1,4,4,4,5,5,4
Seguros International Ltd.,Policycreated,5721,11259,10009,1333,Mar-94,TOYOTA,10/25/19,10/25/19,12/01/19,365.8800049,1997,September,Y,NA,NA,10/25/19,10009,1333,Flevoland,2,3,2,3,3,1,2,3,4,2,4,5,6,NULL,6,3,4,4,1,2,3,1,4,2,1,4,4,4,5,5,4
